ranking,score,movie_name,daoyan_info,score_num
1,9.7,肖申克的救赎,,1679428
2,9.6,霸王别姬,,1242458
3,9.5,阿甘正传,,1299340
4,9.4,这个杀手不太冷,,1493111
5,9.5,美丽人生,,759271
6,9.4,泰坦尼克号,,1237275
7,9.3,千与千寻,,1326966
8,9.5,辛德勒的名单,,669786
9,9.3,盗梦空间,,1270772
10,9.3,忠犬八公的故事,,859230
11,9.3,机器人总动员,,841721
12,9.2,三傻大闹宝莱坞,,1152285
13,9.3,放牛班的春天,,805187
14,9.3,楚门的世界,,902285
15,9.2,海上钢琴师,,931198
16,9.3,星际穿越,,920712
17,9.2,大话西游之大圣娶亲,,901493
18,9.2,龙猫,,785334
19,9.3,熔炉,,540414
20,9.2,无间道,,740230
21,9.3,教父,,572979
22,9.2,疯狂动物城,,1050127
23,9.1,当幸福来敲门,,933222
24,9.0,怦然心动,,1052036
25,9.2,触不可及,,608572
26,9.2,蝙蝠侠：黑暗骑士,,612964
27,9.2,活着,,479185
28,9.6,控方证人,,221127
29,9.3,乱世佳人,,416897
30,9.0,少年派的奇幻漂流,,904171
31,9.0,摔跤吧！爸爸,,922902
32,9.2,指环王3：王者无敌,,457514
33,9.0,飞屋环游记,,825123
34,9.2,鬼子来了,,386250
35,9.4,十二怒汉,,275063
36,9.1,天空之城,,533406
37,9.2,天堂电影院,,433643
38,9.1,寻梦环游记,,879400
39,9.0,大话西游之月光宝盒,,728096
40,9.2,末代皇帝,,396009
41,9.0,哈尔的移动城堡,,603947
42,9.0,罗马假日,,610746
43,9.0,搏击俱乐部,,569680
44,9.0,闻香识女人,,525117
45,9.2,素媛,,355285
46,9.2,辩护人,,366208
47,9.1,窃听风暴,,359222
48,9.1,何以为家,,433199
49,9.1,死亡诗社,,437569
50,9.1,两杆大烟枪,,385825
51,9.2,教父2,,312283
52,9.0,指环王2：双塔奇兵,,424503
53,9.1,飞越疯人院,,390171
54,9.0,狮子王,,472934
55,9.0,指环王1：魔戒再现,,477037
56,8.9,V字仇杀队,,671987
57,9.0,美丽心灵,,469392
58,9.1,饮食男女,,336465
59,9.3,大闹天宫,,210595
61,9.3,海豚湾,,257226
62,9.1,钢琴家,,311910
64,8.9,情书,,572876
65,9.0,黑客帝国,,465856
66,8.8,看不见的客人,,687504
67,8.8,让子弹飞,,997902
68,8.8,西西里的美丽传说,,591986
69,9.2,小鞋子,,235785
70,9.0,拯救大兵瑞恩,,394070
71,8.9,猫鼠游戏,,447279
72,9.2,美国往事,,263133
73,9.0,音乐之声,,364708
74,9.0,我不是药神,,1272313
75,8.8,致命魔术,,525986
76,8.8,七宗罪,,623217
77,8.8,低俗小说,,525120
78,8.9,被嫌弃的松子的一生,,471996
79,9.1,穿条纹睡衣的男孩,,284230
80,8.8,沉默的羔羊,,524783
81,8.8,蝴蝶效应,,578843
82,8.9,春光乍泄,,390848
83,8.9,心灵捕手,,427833
84,8.8,禁闭岛,,571599
85,8.9,勇敢的心,,404719
86,8.7,天使爱美丽,,687466
87,8.7,剪刀手爱德华,,709658
88,8.8,布达佩斯大饭店,,534862
89,8.7,阿凡达,,834086
90,9.3,摩登时代,,162467
91,8.7,加勒比海盗,,550839
